dataset;Viola;Barandela;Davis;Frery;Haibo;Hajizadeh;Han;Liu;Steck;Weinberger;Zhang2013;Ferri;Zhang2017
glass;1;1;0;0;0;1;0;0;1;0;1;1;1
ionosphere;1;0;1;0;1;0;0;1;1;0;0;1;0
pima;1;0;0;1;0;0;1;1;1;0;0;1;0
vehicule;1;1;0;0;1;0;0;0;0;0;1;1;0
german;1;0;0;0;0;0;0;0;0;0;1;1;1
satimage;1;1;0;0;0;0;1;0;0;0;0;0;1
wine;1;0;1;0;0;0;0;0;0;1;0;1;0
hepatitis;0;0;0;0;0;0;0;0;1;0;1;1;1
abalone;1;1;0;0;1;0;0;0;0;0;0;0;0
balance;1;0;0;0;0;0;0;1;0;0;0;1;0
wovel;0;0;0;0;1;1;0;0;0;0;0;1;0
breastcancer;0;0;0;1;0;0;0;0;0;0;0;1;0
hayes;1;0;0;0;0;0;0;0;1;0;0;0;0
heart cleveland;0;0;0;1;0;0;0;1;0;0;0;0;0
iris;0;0;1;0;0;0;0;0;0;1;0;0;0
segmentation;1;0;0;0;0;0;0;0;0;0;0;1;0
soybean;0;0;1;0;0;0;0;0;0;0;0;1;0
yearst;1;0;0;0;0;1;0;0;0;0;0;0;0
ada;0;0;0;0;0;0;0;1;0;0;0;0;1
sylva;0;0;0;0;0;0;0;1;0;0;0;0;1
oil;0;0;0;0;0;0;0;0;0;0;1;0;1
autompg;1;0;0;0;0;0;0;0;0;0;0;0;0
circle;0;0;0;0;0;0;1;0;0;0;0;0;0
diabet;0;0;0;0;1;0;0;0;0;0;0;0;0
digit-389;0;0;1;0;0;0;0;0;0;0;0;0;0
ecoli;0;0;0;0;0;1;0;0;0;0;0;0;0
foxpro;0;0;1;0;0;0;0;0;0;0;0;0;0
fraud;0;0;0;1;0;0;0;0;0;0;0;0;0
haberman;0;0;0;0;0;0;1;0;0;0;0;0;0
hiv;0;0;0;1;0;0;0;0;0;0;0;0;0
iptables;0;0;1;0;0;0;0;0;0;0;0;0;0
latex;0;0;1;0;0;0;0;0;0;0;0;0;0
libras;1;0;0;0;0;0;0;0;0;0;0;0;0
mpg321;0;0;1;0;0;0;0;0;0;0;0;0;0
pageblocks;1;0;0;0;0;0;0;0;0;0;0;0;0
phenomene;0;1;0;0;0;0;0;0;0;0;0;0;0
w8a;0;0;0;1;0;0;0;0;0;0;0;0;0
appetency;0;0;0;0;0;0;0;1;0;0;0;0;0
churn;0;0;0;0;0;0;0;1;0;0;0;0;0
upselling;0;0;0;0;0;0;0;1;0;0;0;0;0
braziltourism;0;0;0;0;0;0;0;1;0;0;0;0;0
marketing;0;0;0;0;0;0;0;1;0;0;0;0;0
backache;0;0;0;0;0;0;0;1;0;0;0;0;0
biomed;0;0;0;0;0;0;0;1;0;0;0;0;0
ipums;0;0;0;0;0;0;0;1;0;0;0;0;0
primary;0;0;0;0;0;0;0;1;0;0;0;0;0
echocardiogram;0;0;0;0;0;0;0;0;1;0;0;0;0
mnist;0;0;0;0;0;0;0;0;0;1;0;0;0
letters;0;0;0;0;0;0;0;0;0;1;0;0;0
20news;0;0;0;0;0;0;0;0;0;1;0;0;0
isolot;0;0;0;0;0;0;0;0;0;1;0;0;0
yaleface;0;0;0;0;0;0;0;0;0;1;0;0;0
